year,fertilizer_code,dry_matter,actual_yield,temperature,precipitation,solar_radiation,predicted_yield
2000,Nil,22.0,1.98,286.3774262471916,404.8585812766105,15766376.38235294,2.1614575
2000,PKMg,20.8,2.4,286.3774262471916,404.8585812766105,15766376.38235294,2.4814756
2000,N1PKMg,24.8,6.05,286.3774262471916,404.8585812766105,15766376.38235294,6.346739
2000,N2PKMg,24.5,9.55,286.3774262471916,404.8585812766105,15766376.38235294,10.531261
2000,N3PKMg,24.3,10.78,286.3774262471916,404.8585812766105,15766376.38235294,10.749039
2000,N4PKMg,23.6,10.77,286.3774262471916,404.8585812766105,15766376.38235294,10.779034
2000,N2,20.9,3.99,286.3774262471916,404.8585812766105,15766376.38235294,4.0525045
2000,N2P,24.3,5.83,286.3774262471916,404.8585812766105,15766376.38235294,5.8274755
2000,N2PNa*,24.1,6.34,286.3774262471916,404.8585812766105,15766376.38235294,6.3748636
2000,N2PK,26.3,9.27,286.3774262471916,404.8585812766105,15766376.38235294,9.261366
2000,N2PKMg*,27.1,10.63,286.3774262471916,404.8585812766105,15766376.38235294,10.430465
2000,N5PKMg,22.2,11.77,286.3774262471916,404.8585812766105,15766376.38235294,11.655234
2000,N6PKMg,23.3,13.75,286.3774262471916,404.8585812766105,15766376.38235294,9.82794
2000,N0+3 1/2[PKMg],23.0,10.89,286.3774262471916,404.8585812766105,15766376.38235294,9.3345
2000,N1+3 1/2[PKMg],23.9,10.6,286.3774262471916,404.8585812766105,15766376.38235294,10.544381
2000,(C) ,22.5,2.97,286.3774262471916,404.8585812766105,15766376.38235294,3.0032835
2001,(FYM) N4 ,25.7,13.67,286.361953037237,369.1979328307789,15880450.614379086,11.194795
2001,FYM N2,28.0,13.54,286.361953037237,369.1979328307789,15880450.614379086,12.647174
2001,FYM,25.9,9.43,286.361953037237,369.1979328307789,15880450.614379086,13.425038
2001,Nil,20.7,2.29,286.361953037237,369.1979328307789,15880450.614379086,2.300153
